819827	Razvilka	55.591667	37.740833	RU
524901	Moscow	55.75222	37.615555	RU
2973393	Tarascon	43.805828	4.660280	FR
2986678	Ploufragan	8.491409	-2.794580	FR
2986678	Bucharest	44.43278	26.10389	RO
2986678	Germany	52.520008	13.404954	DE
888888	Florina	40.7845262	21.4131222	GR
888888	Livadia	38.4387082	22.8753993	GR
999999	Roma	41.8919300	12.5113300	IT
712344	Birkirkara	35.8967	14.4625	MT
345232	Aveiro	40.6412	-8.65362	PT
623466	Madrin	40.4167	 -3.70325	ES
423442	Brasov	44.4267674	26.10253839	RO
993454	Pitesti	44.85	24.8667	RO
